sample_id,smiles,split,n_heavy_atoms
zinc-1b6e20cec20a34f1,CCC1=NN(C)C(C[NH2+]C(CCl)C(C)C)=C1,train,16
zinc-2bda07676c3b037d,CCC(CC)S(=O)(=O)N=C([O-])C1=C(C)N=C(C(C)OC)S1,train,21
zinc-71448ff6c4940453,CC(NC(=O)CS(=O)(=O)C1=NN=CN1C)C1=CC=C(Br)C=C1,train,22
zinc-420b598a4b8669da,CC(OC(=O)C1=CC=CO1)C1=CC=CC(F)=C1,train,17
zinc-c7ecd93f787d197c,CSC1CCC(NC(=O)NNC(=O)CN2N=C(C)C=C2C)C1,train,22
zinc-bb9ba7bcdfe609e1,CCN1CCN(CC2=CC=CC=C2C2=CC=CC=C2)C(=O)C1=O,train,23
zinc-c88cdf83ff403e8c,CC1=CC(C)=NC2=NN=C(SCC(=O)NC(C)CCC3=CC=CC=C3)N12,train,26
zinc-c5a8fee9d495e480,CC(CC1=CC=CS1)C(=O)N1CCN(C2=[NH+]N=CC3=CC=CC=C32)CC1,train,26
zinc-11c9fde9605538a4,CC(OC1=CC=C([N+](=O)[O-])C=C1F)C(=O)[O-],train,16
zinc-9a39a313ece4ed72,CNC(=O)NCC(=O)N1CCCC1CC1=CC=C(C)C=C1,train,21
zinc-e83e47308c68db4e,CC1=CC=CC(CCNC(=O)C2=NN3CC(C)(C(=O)NCC4=CC=C(F)C=C4)N(C)C(=O)C3=C2)=C1,train,35
zinc-8f615e7a1d27a051,O=C(NC(CC1=CNC2=CC=CC=C12)C(=O)[O-])C1=CC=C(F)C=C1F,train,25
zinc-94295aa09e39c3e0,[NH3+]C1CCN(C2=CC=CC(C(F)(F)F)=C2)C1,train,16
zinc-dc04be249945ec8c,N#CC1(NC(=O)C2=CSC=C2)CCCCC1,train,16
zinc-7aa91851387e1b12,CC(OC(=O)C1=CN=C(C2=CC=CC=C2Cl)S1)C1=NC=CS1,train,22
zinc-485b5a5bebcc10d8,O=C1C(=CC2=CC=CC3=CC=CC=C32)SC(=S)N1CC1=CC=CO1,train,24
zinc-b0c10e9c5c195fc7,O=C(NC1=CC=CC(Cl)=C1)C1=NN=C(C2CCCN(C(=O)COC3=CC=C(Cl)C=C3)C2)S1,train,32
zinc-609ab8a18ce8a0f8,O=C(CCN1C=CC2=CC=CC=C21)NC1=CC=C2NC(=O)CCC2=C1,train,25
zinc-1da578802ce88058,COC(=O)C1=NN(C2=CC=CC(C)=C2)C2C(=O)N(C3=CC=CC(Cl)=C3)C(=O)C12,train,28
zinc-bc27a2ba743e7f25,CC(NC(=O)NC1=CC(Br)=CN(C)C1=O)C1=CC=NC=C1,train,21
zinc-99ddd9bf17cf41ec,CCN(CC)C(=O)C1CCN(C(=O)C(=O)NC2=CC(C)=CC3=CC=CN=C32)CC1,train,29
zinc-a318a237d16e1b29,CC[NH2+]C1C(SC2=NN=NN2C2CC2)CCC1(C)C,train,19
zinc-9112fde0cbbde903,CC1=CC=CC(NC(=O)C2=NN3C(=C2)NC(C2=CC=CO2)CC3C(F)(F)F)=C1C,train,29
zinc-2d2a279e90f3b87c,COCC(C)[NH+]1CCN(CC2=CNN=C2C2=CC=CC(Cl)=C2)CC1,train,24
zinc-2e197101e4038cab,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,train,22
zinc-7dd2e47adfd14dd4,CCCC1=NN=C(NC(=O)C2=CC(C3=CC(C)=CC(C)=C3O)=NN2)S1,train,25
zinc-205e0b27dcd28d34,CC1=NC=C(C(=O)N2CCCCC2)C(C2CCCN2C(=O)CC2(O)CCCCC2)=N1,train,30
zinc-7b04e47bcdd450a9,CC1CN(CC2=NC3=C(C(=O)N(C)C(=O)N3C)N2C(C)C)CC(C)O1,train,25
zinc-4635825176e8d606,COC1=CC(C)=CC=C1OCCC(=O)NC1CCC(O)CC1,train,22
zinc-b3f0e0192b9d07fa,CC1=C(C2=NN=C(SC(C)C(=O)N(C)C3(C#N)CCCCC3)O2)C=CO1,train,26
zinc-6602dfe44e4ac0bb,CCN1C=C(CN(C)C(=O)CC2=C(C)NC3=C(C)C=CC(C)=C23)C(C)=N1,train,26
zinc-09daa03db6d4f237,O=S(=O)([N-]C1=CC(Cl)=CC=C1F)N1CC[NH2+]CC1,train,18
zinc-38ce9ae5d4bc9fa1,CC1CCCC2OC2C(=O)C2=C(O)C=C(O)C=C2CC(=O)O1,train,22
zinc-875d2c152988ebdf,O=C(NC1=CC=C(Cl)C=C1)N1N=C(C2=CC=NC=C2)OC1=S,train,22
zinc-fa775cfc1058ddd9,COC1=CC=C(C(=O)C2=C([O-])C(=O)N(CC3=CC=CC=C3)C2C2=CC=C(C)O2)C=C1,train,30
zinc-2e83d967eb995cce,CC1=CC=C(C(O)C2=CC(C)=C(F)C=C2F)O1,train,17
zinc-3266118ccb4d1c66,COC1=CC(C[NH+](C)CC(=O)NC2CCCC(C)C2C)=CC=C1O,train,24
zinc-c6ede7afac6afb1c,COCCCNC(=O)C1=CC=CC2=C1NC(C1=CC=CC(OC)=C1O)C1CC=CC21,train,30
zinc-1b1cbae89958381c,CC1=CC(NC(=O)NC(CO)C2=CC=C(Cl)C=C2)=CNC1=O,train,22
zinc-be46fbda6cd320a8,CC(=O)C(C)SC(C)C(=O)NC1=CC(C)=CC(C)=C1,train,19
zinc-8424d6e724de7ad2,CC1=NC(C(C)NC(=O)C2=CC=CC(CCC(C)(C)O)=C2)=CS1,train,23
zinc-fa7d4b8d0e5b4cc3,O=C(NCC1=CC=CN=C1)C1=CSC(Br)=C1,train,16
zinc-1e4b2ca623be4246,CC(C)N1C=C(S(=O)(=O)N2CCCC(C3=NC=CN3)C2)C=N1,train,22
zinc-70eb5c83f19b0310,CCC([NH3+])CC1=CC=CC=C1N1CC2CCC[NH+]2CC1C,train,21
zinc-876873e01711c097,CC([NH2+]C(C)C1=NN=CN1C)C1=COC=C1,train,16
zinc-ef2a3de754ce3a49,CC([NH2+]CC(=O)N1CCCCCC1)C(N)=O,train,16
zinc-c443174bccf7e824,OC(NC1=CC=CC=[NH+]1)C(Cl)(Cl)Cl,train,13
zinc-a986d1636e34c9b2,COC1=CC=C2C(=C1)N=C(CN1CCN(C3=CC(C)=CC=C3C)CC1)N2C,train,27
zinc-eeaae668a1aa418a,O=S1(=O)N=C(SCC2=CC=CC(F)=C2)NC2=CC=CC=C21,train,21
zinc-3965095ddd4e6816,CCCN1C=C(NC(=O)CCC(C)O)C=CC1=O,train,18
zinc-e0aac3c86c95d5c0,C=CCN1C=C(CN2CC=C(N3C(=O)NC4=CC=CC=C43)CC2)C(C)=N1,train,26
zinc-d9da8a9e1054175f,CCCNC(=O)CN1C(=O)NC(C)(C2=CC=C(C(C)(C)C)C=C2)C1=O,train,25
zinc-a858be81d26ad85f,CC1CC(C(=O)NCC(C)(C)C[NH+](C)C)CC(C)O1,train,19
zinc-40628322767a9f67,O=C([O-])CC1OC(=O)C2=CC3=C(C=C21)C(=O)OC3CC(=O)[O-],train,22
zinc-5b9659c0ccf597d7,COC(=O)C1=C(C2CC2)N=C(NC(=O)C2CSC3=CC=CC=C32)S1,train,24
zinc-55593f73fef77c59,CCOC(=O)C1CCC[NH+](CN2N=NN(C3=CC(C)=CC=C3OC)C2=S)C1,train,27
zinc-9311decdc93a7dc3,CC1=CC=C2C(=C1)CCN2C(=O)C1CCC2=C(C1)C(C(F)(F)F)=NN2,train,25
zinc-c24c2d91839f96ff,CC1=CC(C)=C(C(=O)CC2(O)C(=O)N(CC3=CC=CC(F)=C3)C3=CC=CC=C32)C(C)=C1,train,31
zinc-f7a556f22b262bd3,CCN1C2=CC=CC=C2C(C[NH+]2CCC(C(=O)N3CCN(C4=CC=CC=C4)CC3)CC2)=C1C,train,33
zinc-0aca3e36d418cfba,CC1CN(CC2=C[NH+]=CN2C2CC2)CC(C)[NH2+]1,train,17
zinc-3525d84917bd0fe3,O=C(C1=CN2C3=CC=CC=C3SC2=N1)N1CCC[NH+](CC2=CC=CC=N2)CC1,train,28
zinc-54faa55d86e5f9d1,NN1C(SCCCC2=NC(C3=CC=CC=C3)=NO2)=NN=C1C1=CC=CS1,train,26
zinc-303a8fea9de7e5ce,CCC([NH3+])C(SCC(O)CO)C(F)(F)F,train,15
zinc-bc3643a4627523fd,COC1=CC=C(S(=O)(=O)NC(C)C(=O)N2CCCC2C2=CSC=C2)C=C1,train,26
zinc-f74729147aaf735b,ON=C1CCCN(CC2=CC=CC=C2)C1,train,15
zinc-20a908396738487d,CC1=C(C(=O)N2CCOCC2)SC(NC(=O)C2=CC=CC=C2Cl)=N1,train,24
zinc-27c4970e78789017,C=C(Br)CN1CC(C)(C)C1(C)C,train,12
zinc-2e0ef5fc7dbb8384,CCN(CN1C(=O)C(=O)N(CC(C)C)C1=O)C(C)C(C)C,train,21
zinc-9ebc7f913b903194,COC1=CC=C2NC=C(C(=O)NCCC(=O)NC3=CC=CC(Cl)=C3)C2=N1,train,26
zinc-25b80c35306347cf,CCNC(=O)CN(C)C1=CC(C)=C(N)C(C(=O)OC)=C1,train,20
zinc-a823f613d52f61c1,O=C(CC1=CC=CC(F)=C1F)NC1CCN(C2=CC=CC=C2F)C1=O,train,25
zinc-50e32d67625a0a65,COC1=CC(C[NH+]2CCC(CO)C2)=CC=C1OC(=O)C1CC1,train,22
zinc-d76e0a89f8bf9a36,CC1=NN(C)C(C)=C1CCC(=O)N1CCN(C(=O)C2=CC=CC=C2F)CC1,train,27
zinc-59098f1ac05b39fe,CCC[NH2+]C(CC1=CC=C(C)C=N1)C1=CC(Cl)=CC=C1F,train,21
zinc-733dfffe7fcfb466,O=C(CNC(=O)C1=CN=C(C2CCCO2)S1)OC1CCCCC1,train,23
zinc-4f7c689c936afde1,CC(C)C1=CC=C2C(=C1)CCC1C(C)(C[NH2+]CCC[NH3+])CCCC21C,train,25
zinc-5dfd5d84b4b5d9fa,CC1=CC=C2N=C(NC(=O)C3CCC(C[NH3+])O3)SC2=C1,train,20
zinc-0760bddc764c0f7c,C=CCC[NH+]1CCN(CC2=NOC=C2)CC1,train,16
zinc-8f8ffc52f40e9671,CN1N=CC=C1CNC(=O)NCC(C)(C)[NH+]1CCC2=CC=CC=C2C1,train,25
zinc-68e161547396bf69,COC(CN(C)C1=CNC(=O)NC1=O)OC,train,16
zinc-2d1bec68785681af,COC1=CC=CC(CN(C)C(=O)C2=CC=C3C=C(OC)C=CC3=N2)=C1,train,25
zinc-d7a7d447ed8a699f,CCCC1=NN(C)C(NC2CCCCC2)=C1,train,16
zinc-518599959154ef6a,O=C1OCCN1CC[NH2+]C1CCN(C2=CC=CC(N3CCNC3=O)=C2)CC1,train,27
zinc-10b45267dc4ffad3,CC1CC([NH2+]CC(=O)N2CCC3=C(C=CS3)C2)C2=C(SC=C2)S1,train,23
zinc-d7cfb899d0b5c071,C[NH+]1CCCN(C(=O)CC2=C(F)C=CC=C2Cl)CC1,train,19
zinc-da638db3f3d650cb,CC1=CC=C(C(=O)NC2=NC3=C(CCCC3)S2)C=C1,train,19
zinc-1301b9a6bbea25f8,COC(=O)C1=CN=CC(OC2=CC(C)=CC=C2[N+](=O)[O-])=N1,train,21
zinc-ff66360aec93bd56,CCNC1(C#N)CCC(N2C=C(C(F)(F)F)C=N2)C1,train,19
zinc-329760e69fed0f26,CC[NH2+]CC(CC(C)C)C(C)CC,train,13
zinc-ba07a58f08591162,CC(C)C(C)(O)CNC1=C(C#N)C(Cl)=NS1,train,16
zinc-d18362a337caaab3,CC1CN(CC2=NOC(C3=CC=C(F)C=C3)=N2)CCC1[NH3+],train,21
zinc-e87300321dd8b163,COC1=CC=C(C2=NNC=C2C[NH+]2CCC(N3C=CC=N3)CC2)C=C1,train,25
zinc-f3bfaf26613558d0,COCC[NH+]1CCCC(CN(C)C2=NC3=C(S2)C(C)=NN3C)C1,train,23
zinc-babbe32b8c8bea4a,NC(=O)C1=CC=C(CCC2=CC=CC=C2)N=C1Cl,train,18
zinc-c59fa527a9cb9e11,CCOC1=NC=CC=C1NC(=O)N1CCCC1C(C)C,train,20
zinc-0ea388038d4e46ba,CCNC(=O)C(=O)NC1=CC=C(Cl)C(Cl)=C1,train,16
zinc-898e8b45b4ec907e,CC(C)(C)C(NC(=O)NC(CCO)C1=CC=CC=C1)C1=CC=CS1,train,24
zinc-8c5410d17b28e29f,CC1=CC=C(SC2CC(C)OC2=O)C(C)=C1,train,16
zinc-25b9b5cd22172c83,CCNC(=O)C1=CC=C(NC2CCC(C)CC2C)[NH+]=N1,train,20
zinc-1b2b5359ebc892d1,CC1=NC(C)=C(C(C)[NH+](C)CC2=CN=C(CC(C)C)S2)S1,train,21
zinc-8fad9b787e2b6054,CS(=O)CCCNC(=O)NC1CCOC1C1=CC=C(Cl)C(F)=C1,train,23
zinc-02b78d81176ff500,CN(C)C(CNC(=O)C(=O)NC1CCCC1)C1=CC=CS1,train,21
zinc-9ef0932c6a0ea975,CC1=CC(C)=NN1CC1CCCN1C(=O)CN1N=NC2=CC=CC=C21,train,25
zinc-6574c14369bfee21,C=C(C)CC(CC(C)C)[NH2+]CCC,train,13
zinc-ea7bf064c3d6e9ab,CC(C)N(CCS(C)(=O)=O)CC1=CC(Br)=CC=C1[N+](=O)[O-],train,21
zinc-1cb7252cb45e4c30,CCCC1=CC=C(C(NC(=O)CC2CCS(=O)(=O)C2)C(C)C)C=C1,train,24
zinc-f0adce9c6b84cbe4,CCC1=CC=C(NC(=O)C2=CC=CC=C2NC(=O)C2CCCO2)C=C1,train,25
zinc-07968a60ca1c78e0,CC(C)N1C=NC=C1C(CO)[NH2+]CC1=CC=CS1,train,18
zinc-b915ed8d71727c10,C[NH2+]CC1=CC=C(OC(C)C(C)O)C(OC)=C1,train,17
zinc-b795311c8e9baf4c,COC1=CC(C2NC(=O)C3=CC=CN=C3N2)=CC=C1O,train,20
zinc-75c39af67089115e,CCC1CCCCN1C1=NC=NC(NC2=CC=C3OCCOC3=C2)=C1[N+](=O)[O-],train,28
zinc-a24f7de0a4d1e746,O=C(NC1=C(Cl)C=CC=C1Cl)C1CCCCC1,train,17
zinc-992c12082fcf457c,CCCC1=CC=C(C([NH2+]C)C2(C)CCCO2)C=C1,train,18
zinc-444bf330c0e7c77d,COC1=CC=C(C2=CSC3=NC=NC(NCC(O)C4=CC=CC=C4)=C23)C=C1,train,27
zinc-d924bcb3215a665b,O=C1C2=C(N=CN1CC(=O)N1CCCC3=CC=CC=C31)N(C1=CC=C(Cl)C=C1)N=N2,train,30
zinc-751ab004b8420e4e,COC(=O)C1=CC=C(CNCC(F)(F)F)N1,train,16
zinc-dbf5f8bbe17a3060,CC1=C(C2=CC=CC=C2)SC(NC(=O)C2=CC=CC=C2S(C)(=O)=O)=C1C(=O)N1CCCCC1,train,33
zinc-42492b50c525d768,CC(C)(C)NC(=O)CCN1N=NC2=CC(S(=O)(=O)N3CCCC3)=CC=C21,train,26
zinc-d92fe8e19015197a,COC(=O)C1(N)CCCC([NH+]2CCCOCC2)C1,train,18
zinc-bce438737b173894,CNC1(C(N)=O)CCC([NH+](C)CCCOC)C1,train,17
zinc-dcff2417ead9564a,O=C([O-])C1=CC(S(=O)(=O)NNC(=O)C2C=C(C3=CC=CC=C3)N=N2)=CC=C1F,train,28
zinc-9df5015d5ecc176a,O=C(CN1C=NC(C2=CC=CC([N+](=O)[O-])=C2)=N1)N(CC1=CC=C(F)C=C1)C1CCCCC1,train,32
zinc-c63fcb62e4f9d1c5,CCN1N=C(C)C=C1C(=O)NC1=NC2=C(S1)C1=CC=CC3=C1C2=CC=C3,train,26
zinc-15fb61f1b61bbfa3,CCC(=O)N(C1CC1)C1NN=C(SC2C(=O)[NH+]=C3C=CC=CC3=C2C)S1,train,26
zinc-94ce32d8e60f3ce8,CCC(C)OC(=O)C(C(F)(F)F)C(F)(F)F,train,16
zinc-fd4b5127dadd7b12,[NH3+]C(C1=CC=C(Cl)C(Cl)=C1)C1=CC=C(F)C=N1,train,17
zinc-52c54b6604d43014,CC(C)C1=C(COC2=CC=C(S(=O)(=O)C3=CC=CC=C3)C=C2)N=CO1,train,25
zinc-c90f124a9dfff7c6,CC1=CC=CN=C1NC(=O)C1=CC=C(C[NH3+])O1,train,17
zinc-bc3694191b33f8b9,CC1=CC=C(N2C(=O)C(=CC3=C(C)N(C)C4=CC=CC=C43)C(=O)NC2=S)C(C)=C1,train,29
zinc-27e8f619c1eeb6fb,CC1(C2=CC=C(Cl)C=C2Cl)NC(=O)N(CC(=O)C2=C3C=CC=CC3=[NH+]C2)C1=O,train,28
zinc-3bff5824333f1625,CC(OCC1=CC=CC=C1)C(=O)N1CCC(C(=O)[O-])C1C,train,21
zinc-d0d0234c883cc07d,CC(C)CCNC(=O)N(CCCO)C1CCC2=CC=CC=C21,train,22
zinc-bb762e4305e6ba97,CC1=CC=CC=C1N1C(C)=CC(C=NNC(=O)CN(C2=CC=CC3=CC=CC=C32)S(C)(=O)=O)=C1C,train,35
zinc-3a02369a00d3e380,COC1=CC2=NC(C(=O)[O-])=CC2C(OC)=C1,train,16
zinc-1b137698cec3eb18,CCCCN1CCN(C(=O)C2=CC=C(C3=CSC=C3)N=C2)CC1,train,23
zinc-459322bd6990d184,CC1=NN(C)C(OC2=CC=C(F)C=C2)=C1C=O,train,17
zinc-04fd5e429851026d,CC(O)CCC(=O)NCC(C)(O)CO,train,14
zinc-d2adaa7dd74d5c76,CCN(CCC(F)(F)F)CC1=CN=C(C)N1C1=CC=CC=C1,train,22
zinc-330019874f84873b,CC1=NOC(C)=C1CN1CCN(C(=O)CS(=O)(=O)C2CCCC2)CC1,train,25
zinc-b2c340a4f50bb952,CCOC1=CC=C(C2=NN(C3=CC=CC=C3)C=C2C=C2SC(=S)N(CC(=O)[O-])C2=O)C=C1F,train,33
zinc-5012b6fa012a0bf9,CC(C)(C)OC(=O)N1CCC(C(=O)NC2=CC=C(C3=NNC=C3)C=C2)C1,train,26
zinc-038eb527e5220b06,O=S(=O)(NC1=CN(C2=CC=CC=C2F)N=C1)C1=CC=C(Cl)C=C1,train,23
zinc-6844a64fdd48f5f0,CN1C(=O)N(CC(=O)N2CCN(CC3=CC=CC=C3)CC2)C2=CC=CC=C21,train,27
zinc-38efa7eceb3387b0,OC1=CC=C(CN(CC(O)C2=CC=C(F)C=C2)C2CC2)C=C1Cl,train,23
zinc-f0e5794f1b1eb438,COC1=CC=C(NC2CCCN(C(=O)C3=NNC(=O)C4=CC=CC=C43)C2)C=C1OC,train,30
zinc-47d6b2efc52c231b,O=C1CCC(C(=O)N2CCC(C3=CC=C(C(F)(F)F)C=C3)CC2)CN1,train,25
zinc-d82517ae8c1824c6,O=C([O-])CN1C=CC(C(=O)NCCCN2CCOCC2)=N1,train,21
zinc-802db36049258b05,CC1=CC=CC=C1C(C)CC(=O)N1CCCN(C2=NC(C)=NS2)CC1,train,25
zinc-23b6cdb1ce9628fd,CCOC(=O)C1=CC=C(NC(=O)C2=CN(C)C3=C(F)C=CC=C3C2=O)C=C1,train,27
zinc-8ce50cd53b1f87bd,CC1=CC=C(C(=O)NC2=CC=C(Br)C=C2Cl)C=C1S(=O)(=O)N1CCCCC1,train,27
zinc-ec43d480f27a32da,COCCN=C1SC=C(C)N1N=CC1=CC=CO1,train,18
zinc-403dbf99af26ccc7,CC(C)COC(C)C1=NOC(CN(C)C2=CC=C(F)C(F)=C2)=N1,train,23
zinc-3ba05c76e51fc328,CC1=CC=CC(OC(=O)CCCCC2SCC3NC(=O)NC32)=C1C,train,24
zinc-171d7bf99114026e,CN1C2=CC=CC=C2N=C1C(C#N)C(=O)C1=CC=C(N2C=CC=C2)N=C1,train,26
zinc-4645c2cd21f969ea,CC1=CC=C(CNC(=O)CSC2=CC=C(C3=CC=CS3)N=N2)C=C1,train,24
zinc-609990b16a704f5a,[O-]C1=NC(=[OH+])C([O-])=C1[N+]1=CC=CC=C1,train,14
zinc-73c56e98bfa0868c,CC1=NOC2=NC=C(C(=O)NC3=CC=CC=C3C(=O)C(C)C)C=C12,train,24
zinc-367284e470993de4,CCC(C)CN(CC)C(=O)C1=CC(N)=CC=N1,train,17
zinc-6d0279b0c9429bf8,COC1=CC=C(C2=CC3=CC=C(O)C(CN4CC[NH+](C)CC4)=C3OC2=O)C(OC)=C1,train,30
zinc-19922fa152f60c84,COC1=CC=CC(C(C)CC(=O)NC2=CC=C(NC(=O)C(C)C)C=C2)=C1,train,26
zinc-9ae3937d848f98db,O=C(C1=CC=NC=C1Cl)N1CCCC1C1=CC=CC(Cl)=C1,train,21
zinc-4b048d077b7b8d55,O=C(NC1=NC(C2CC2)=CS1)C1CSC2=CC=CC=C2O1,train,21
zinc-86c69d9bb1179ed8,O=[N+]([O-])C1=CC(F)=C(F)C=C1[N+](=O)[O-],train,14
zinc-ac1f219318535b19,CC1=NNC(C)=C1CCC(=O)N1CCCC(C2=[NH+]C=CN2)C1,train,22
zinc-0c295a3d9f257918,NC1=CC=C(S(=O)(=O)C2=CC=C(NCCO)C=C2)C=C1,train,20
zinc-d5c4ac565c72a917,COC(=O)C1=CC(C2=CSC(NC(=O)C3=C(C)N=C(C)S3)=N2)=CN1,train,24
zinc-13a2da4fab6d951f,CC1=CSC=C1C(=O)NC(C#N)C1=CC=CC=C1,train,18
zinc-086065088d55982f,COCCC(C)C(=O)NC1=CC=C2OCCC2=C1,train,18
zinc-22494b27241a4ed6,CC(CNC(=O)C(C)OC(=O)C1=CC=CN=C1)C1=CC=CC=C1,train,23
zinc-25c2d45e990c2de9,CP(=O)(NC1=CC=CC=C1Cl)OC1=CC=CC(Cl)=C1Cl,train,20
zinc-bcebfb6f916812f7,O=C(C1=CN=CC=N1)N1CCC2=C(C1)C(C1=CC=C(C(F)(F)F)C=C1)=NN2,train,27
zinc-75c3aa0074328472,CC(C)C1=NN=NN1CC(=O)NC1=CC=CC=C1C1=NC2=CC=CC=C2N1,train,27
zinc-7070c3676e4e4b3d,CC1=NN(C)C(C)=C1CC(=O)OC(C)C1=NN=C(C2=CC=C([N+](=O)[O-])C=C2)O1,train,28
zinc-7bcdddad44dc0d03,CC(=O)NC1=CC=C(C)C(NC(=O)NC2CC3CCCC4=C3C2=CC=C4)=C1,train,27
zinc-ddbd096957b1962f,CC(CNC1=NC=CC=C1C#N)OC1=CC=CC=C1,train,19
zinc-c4b998ce1ad4d8e0,O=S(=O)(C1=CC(F)=CC(F)=C1)N(CCC(F)(F)F)C1CCC1,train,22
zinc-e84d1a9b80a6c54f,O=C([O-])CCP(=O)([O-])C[NH+]1CCCCC1,train,15
zinc-69b3c5a0599d069c,CN(C)C1=NC(NC2=CC=CC=C2)=C2C(=[NH+]1)CC1CCC2N1C(=O)CC[NH3+],train,27
zinc-885005a2fbb59cf4,CCN1C(=O)N(C)N=C1C1CCN(C(=O)C2=CC=C(N3C=CN=C3)C=C2)CC1,train,28
zinc-7edea298672f5909,COC(=O)CC1C(=O)NCC[NH+]1CC1=NC(C2=CC=C(C(F)(F)F)C=C2)=NO1,train,28
zinc-06174df957de8667,CCN1C(=O)N(CC(=O)NC(C)C2=CCCCC2)N=C1C1=CC=CC=C1,train,26
zinc-190bc3394fb968d1,COC1=CC(C=C2SC(=N)N(C3=CC=C(S(N)(=O)=O)C=C3)C2=O)=CC=C1O,train,27
zinc-c405044dbc0636b8,CC(CC1CCC[NH2+]1)[NH2+]CC(C(C)C)[NH+]1CCCC1,train,19
zinc-8a8c4f39ad3865fd,C#CCOC1=CC=CC=C1CN(C)C(=O)NC1=NN=C(C2=CSC=C2)S1,train,26
zinc-6ed54999a2809852,CC1=NOC(C)=C1C[NH+]1CC2CCC(C1)N(C(=O)CCC1=CC=CC=N1)C2,train,27
zinc-9afd40c9a1b69135,CCN(C)C1=CC=C(C=C2C(=O)N(C3=CC=CC4=CC=CC=C43)C(=O)N=C2[O-])C=C1,train,30
zinc-37d4637ca94b3ea6,NC(=O)C1(NC2=CC=CC=C2)CC[NH2+]CC1,train,16
zinc-348d0927bb1855be,CN(C)S(=O)(=O)C1=CC=C(F)C(NC(=O)N2CCC3=CC(F)=CC=C3C2)=C1,train,27
zinc-1a053f4bec33d1c0,CCCCOC(C)C(=O)N(C)C1CCN(C2=CC=CC=C2Cl)C1=O,train,24
zinc-ef167cda7a384cf6,CN(CC1=CC=CC=C1)C(=O)CCC1CCN(C(=O)C2CCCO2)CC1,train,26
zinc-755ade6b5eac85b3,CSC(C)C(=O)N(C)C(C)C1=CC=C(N2C=NC3=CC=CC=C32)C=C1,train,25
zinc-4caac41e13f659fd,CC[NH2+]C(C1=CC=CS1)C1CCOC2(CCC2)C1,train,18
zinc-b3d9b25ccbc546e4,CC1=NN(C)C(Cl)=C1C=CC(=O)NC(C(=O)N1CCCC1)C(C)C,train,24
zinc-40536d5ce3baea29,CC1=CC(NC(=O)C(=O)NCC(C2CC2)C2CC2)=CC=C1C(=O)N(C)C,train,26
